id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
595253,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,16.0,15.0,No
653987,API,Referral Sites,No,No,0,3.0,116,3.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
655165,Landing Page Submission,Direct Traffic,No,No,1,5.0,1491,2.5,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,15.0,18.0,Yes
601302,Landing Page Submission,Direct Traffic,No,No,0,10.0,1634,5.0,Chat Conversation,Operations Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
660087,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,16.0,No
584063,Landing Page Submission,Direct Traffic,No,No,0,2.0,182,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
624488,Landing Page Submission,Organic Search,No,No,0,5.0,1410,5.0,Unreachable,Operations Management,,No,No,No,No,No,No,,,Yes
638390,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Media and Advertising,Unemployed,No,No,No,No,No,No,16.0,16.0,No
658309,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,19.0,No
629645,Landing Page Submission,Direct Traffic,No,No,1,3.0,294,3.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,,,Yes
591417,Landing Page Submission,Direct Traffic,No,No,0,2.0,1391,2.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,16.0,13.0,Yes
585167,Landing Page Submission,Google,No,No,0,3.0,1218,3.0,Form Submitted on Website,Human Resource Management,Working Professional,No,No,No,No,No,No,13.0,17.0,No
588051,Lead Add Form,Reference,No,No,1,,341,,Had a Phone Conversation,Business Administration,Working Professional,No,No,No,No,No,No,14.0,19.0,No
646086,API,Google,No,No,1,2.0,1165,2.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,No
614878,Landing Page Submission,Direct Traffic,No,No,0,3.0,127,3.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,Yes
608409,Landing Page Submission,Direct Traffic,Yes,No,0,3.0,300,3.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
640041,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
635889,API,Google,No,No,1,3.0,1283,3.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
644703,API,Google,No,No,0,2.0,1322,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
583004,Landing Page Submission,Google,No,No,0,3.0,200,3.0,Email Opened,Marketing Management,,No,No,No,No,No,No,11.0,18.0,No
608967,Landing Page Submission,Google,No,No,1,10.0,97,3.33,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
590607,Landing Page Submission,Google,No,No,0,2.0,1379,2.0,Email Opened,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,18.0,No
626188,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
659447,Landing Page Submission,Organic Search,No,No,0,6.0,1485,6.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
660432,Landing Page Submission,Organic Search,No,No,1,4.0,1000,2.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,11.0,18.0,Yes
587108,Landing Page Submission,Google,No,No,1,5.0,752,2.5,Email Opened,Finance Management,,No,No,No,No,No,No,14.0,18.0,No
627996,Landing Page Submission,Google,No,No,0,3.0,365,3.0,Page Visited on Website,Human Resource Management,,No,No,No,No,No,No,,,No
581016,Landing Page Submission,Organic Search,No,No,1,3.0,1230,3.0,Email Link Clicked,Operations Management,Working Professional,No,No,No,No,No,No,14.0,20.0,Yes
648243,Landing Page Submission,Organic Search,No,No,0,4.0,35,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,12.0,17.0,Yes
630875,API,Google,No,No,1,3.0,1528,3.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
599550,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,,,No
641291,Landing Page Submission,Organic Search,No,No,0,7.0,255,7.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,14.0,17.0,Yes
609838,Landing Page Submission,Direct Traffic,No,No,1,2.0,640,2.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
617554,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Student,No,No,No,No,No,No,,,No
583831,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
582550,Landing Page Submission,Direct Traffic,No,No,0,1.0,49,1.0,Converted to Lead,Marketing Management,Student,No,No,No,No,No,No,16.0,18.0,Yes
587247,Landing Page Submission,Google,No,No,1,4.0,1280,2.0,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,14.0,16.0,No
596419,API,Google,No,No,0,2.0,72,1.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
629297,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,,,No,No,No,No,No,No,,,No
618476,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
595702,Landing Page Submission,Google,No,No,1,3.0,519,3.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,,,No
604743,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,119,1.0,Email Bounced,E-COMMERCE,Unemployed,No,No,No,No,No,No,,,No
633527,API,Google,No,No,0,3.0,55,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
644065,Landing Page Submission,Direct Traffic,No,No,1,2.0,931,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
640364,Landing Page Submission,Google,No,No,1,3.0,694,3.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,19.0,No
597897,Landing Page Submission,Organic Search,No,No,1,4.0,1078,1.33,SMS Sent,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
579884,Landing Page Submission,Organic Search,No,No,1,8.0,1372,4.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,15.0,Yes
608470,API,Chat,No,No,0,4.0,164,1.33,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
642213,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
646662,Lead Add Form,Reference,No,No,1,,1252,,,Marketing Management,Student,No,No,No,No,No,No,14.0,20.0,No
621242,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,2,1.0,Email Bounced,,Student,No,No,No,No,No,No,,,No
599247,Landing Page Submission,Google,No,No,0,5.0,177,5.0,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
629280,Landing Page Submission,Organic Search,No,No,0,6.0,508,6.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
653724,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,15.0,15.0,No
592625,API,Organic Search,No,No,1,4.0,1823,4.0,SMS Sent,Supply Chain Management,Working Professional,No,No,No,No,No,No,15.0,16.0,No
611211,Landing Page Submission,Organic Search,No,No,0,5.0,171,2.5,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
589287,Landing Page Submission,Direct Traffic,No,No,0,2.0,1198,2.0,Page Visited on Website,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,17.0,Yes
632274,API,Chat,No,No,1,6.0,781,2.0,Email Opened,Operations Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
609540,Landing Page Submission,Google,Yes,No,0,5.0,333,5.0,SMS Sent,Healthcare Management,Unemployed,No,No,No,No,No,No,,,No
641891,API,Google,No,No,1,8.0,167,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,16.0,No
596573,API,Organic Search,No,No,1,3.0,1584,1.5,Email Link Clicked,Finance Management,Working Professional,No,No,No,No,No,No,,,No
607756,Landing Page Submission,Direct Traffic,No,No,0,13.0,293,3.25,Page Visited on Website,IT Projects Management,Unemployed,No,No,No,No,No,No,,,No
602037,Landing Page Submission,Organic Search,No,No,0,7.0,229,3.5,SMS Sent,Media and Advertising,Unemployed,No,No,No,No,No,No,,,No
630428,API,Direct Traffic,No,No,1,3.0,1099,1.5,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
635638,Landing Page Submission,Direct Traffic,No,No,1,5.0,899,1.67,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
608217,API,Google,No,No,0,5.0,1449,5.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
607173,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
629658,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Hospitality Management,Unemployed,No,No,No,No,No,No,,,No
637120,Landing Page Submission,Direct Traffic,No,No,1,2.0,1634,2.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,13.0,Yes
637074,API,Chat,Yes,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
641725,Landing Page Submission,Organic Search,No,No,0,8.0,275,4.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,15.0,14.0,Yes
604407,Landing Page Submission,Google,No,No,0,3.0,398,3.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,,,Yes
580444,Landing Page Submission,Google,No,No,0,3.0,314,3.0,SMS Sent,Retail Management,Unemployed,No,No,No,No,No,No,14.0,20.0,No
622512,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
650642,API,Chat,No,No,1,0.0,0,0.0,Unreachable,Select,Unemployed,No,No,No,No,No,No,13.0,15.0,No
587496,Landing Page Submission,Organic Search,No,No,0,4.0,367,4.0,SMS Sent,"Banking, Investment And Insurance",Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
602949,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
611935,Landing Page Submission,Google,No,No,0,4.0,305,4.0,Page Visited on Website,International Business,Unemployed,No,No,No,No,No,No,,,Yes
643963,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
584182,Landing Page Submission,Direct Traffic,No,No,0,2.0,1381,2.0,Email Opened,Retail Management,Working Professional,No,No,No,No,No,No,15.0,16.0,Yes
613624,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
641392,Landing Page Submission,Google,No,No,0,2.0,186,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,13.0,18.0,No
658831,API,Chat,No,No,1,10.0,1815,3.33,Had a Phone Conversation,Operations Management,Unemployed,No,No,No,No,No,No,15.0,17.0,Yes
642456,API,Chat,No,No,1,3.0,166,1.5,Email Opened,Operations Management,Working Professional,No,No,No,No,No,No,14.0,14.0,No
631753,Landing Page Submission,Organic Search,Yes,No,0,7.0,37,7.0,Page Visited on Website,Marketing Management,,No,No,No,No,No,No,,,Yes
653580,Landing Page Submission,Direct Traffic,No,No,1,4.0,1588,4.0,Email Opened,Supply Chain Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes
609819,Landing Page Submission,Direct Traffic,No,No,0,5.0,339,5.0,SMS Sent,IT Projects Management,Unemployed,No,No,No,No,No,No,,,Yes
605099,Lead Add Form,,No,No,1,,506,,,Select,Unemployed,No,No,No,No,No,No,,,No
586315,Landing Page Submission,Direct Traffic,No,No,1,2.0,1099,2.0,Page Visited on Website,Supply Chain Management,Unemployed,No,No,No,No,No,No,16.0,18.0,Yes
637909,Landing Page Submission,Google,No,No,1,4.0,701,4.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,17.0,No
658976,Landing Page Submission,Google,No,No,0,2.0,56,2.0,Email Bounced,Select,Unemployed,No,No,No,No,No,No,12.0,15.0,No
589539,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
636584,Landing Page Submission,Organic Search,No,No,1,7.0,60,7.0,Email Opened,Rural and Agribusiness,Unemployed,No,No,No,No,No,No,15.0,15.0,Yes
619402,API,Google,No,No,0,3.0,1562,1.0,Page Visited on Website,,,No,No,No,No,No,No,,,No
650231,Landing Page Submission,Google,No,No,0,5.0,28,2.5,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,11.0,18.0,No
583441,Landing Page Submission,Direct Traffic,No,No,1,1.0,594,1.0,Converted to Lead,Human Resource Management,,No,No,No,No,No,No,15.0,18.0,Yes
604229,API,Google,No,No,1,11.0,523,2.2,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
649980,Landing Page Submission,Direct Traffic,No,No,1,4.0,1541,4.0,Email Opened,Hospitality Management,Working Professional,No,No,No,No,No,No,15.0,17.0,Yes
582571,Landing Page Submission,Direct Traffic,No,No,0,2.0,1094,2.0,Email Opened,Human Resource Management,Unemployed,No,No,No,No,No,No,13.0,20.0,Yes
607359,API,Google,No,No,1,3.0,887,1.0,SMS Sent,Human Resource Management,Working Professional,No,No,No,No,No,No,,,No
584237,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,16.0,15.0,No
655191,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
653656,API,Organic Search,No,No,0,3.0,144,3.0,Email Opened,,,No,No,No,No,No,No,13.0,15.0,No
641228,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
603266,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
597266,Landing Page Submission,Google,No,No,0,3.0,235,3.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
628908,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
618332,Landing Page Submission,Google,No,No,1,3.0,1367,3.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
622295,API,Google,No,No,1,4.0,734,4.0,SMS Sent,Operations Management,Unemployed,No,No,No,No,No,No,,,No
645422,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,17.0,15.0,No
582756,Landing Page Submission,Google,No,No,1,4.0,1146,2.0,Email Opened,IT Projects Management,Working Professional,No,No,No,No,No,No,14.0,17.0,Yes
636420,Landing Page Submission,Google,No,No,1,4.0,786,4.0,Email Opened,Finance Management,Student,No,No,No,No,No,No,14.0,18.0,No
587955,API,Google,No,No,1,13.0,1725,3.25,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
608730,API,Google,No,No,0,2.0,388,2.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
583025,API,Chat,Yes,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,13.0,16.0,No
629451,API,Google,No,No,1,2.0,1051,2.0,Email Opened,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
633910,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,No,No,No,No,No,No,,,No
618437,API,Organic Search,No,No,0,3.0,268,3.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
586770,Landing Page Submission,Direct Traffic,No,No,0,1.0,508,1.0,Converted to Lead,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,14.0,Yes
595151,Landing Page Submission,Organic Search,No,No,0,20.0,1494,6.67,SMS Sent,International Business,Unemployed,No,No,No,No,No,No,14.0,18.0,Yes
647504,Landing Page Submission,Organic Search,No,No,0,3.0,658,3.0,Chat Conversation,Travel and Tourism,Unemployed,No,No,No,No,No,No,15.0,14.0,No
608250,Landing Page Submission,Google,No,No,0,5.0,157,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,,,No
646863,Landing Page Submission,Direct Traffic,No,No,1,6.0,1445,3.0,Email Opened,Healthcare Management,Unemployed,No,No,No,No,No,No,14.0,16.0,Yes
603594,Landing Page Submission,Direct Traffic,No,No,0,3.0,107,3.0,SMS Sent,"Banking, Investment And Insurance",,No,No,No,No,No,No,,,Yes
627844,Landing Page Submission,Direct Traffic,No,No,0,4.0,131,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,,,Yes
653525,API,Google,No,No,0,2.0,1607,2.0,Email Link Clicked,,,No,No,No,No,No,No,12.0,15.0,No
581851,Landing Page Submission,Direct Traffic,No,No,0,1.0,232,1.0,Converted to Lead,Retail Management,Unemployed,No,No,No,No,No,No,14.0,20.0,Yes
598377,API,Google,No,No,1,26.0,1157,2.17,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
630041,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
600612,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,"Banking, Investment And Insurance",Student,No,No,No,No,No,No,,,No
616068,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
620372,Landing Page Submission,Direct Traffic,No,No,1,6.0,1703,6.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
631618,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,597,2.0,Email Bounced,Marketing Management,,No,No,No,No,No,No,,,Yes
650274,API,Google,No,No,0,3.0,415,3.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,15.0,No
587910,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Operations Management,Working Professional,No,No,No,No,No,No,14.0,19.0,No
630446,Landing Page Submission,Google,No,No,0,8.0,75,8.0,Email Opened,Human Resource Management,,No,No,No,No,No,No,,,No
580614,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
641383,Landing Page Submission,Google,No,No,0,11.0,1187,11.0,SMS Sent,Human Resource Management,,No,No,No,No,No,No,15.0,17.0,No
633104,API,Direct Traffic,No,No,1,17.0,1194,1.31,Page Visited on Website,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
597298,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
613488,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Marketing Management,Working Professional,No,No,No,No,No,No,,,No
586139,Landing Page Submission,Direct Traffic,No,No,0,3.0,159,3.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,10.0,16.0,Yes
646266,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
649951,Landing Page Submission,Direct Traffic,No,No,0,3.0,388,3.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,11.0,18.0,Yes
608370,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
607232,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
641212,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,13.0,17.0,No
581268,Landing Page Submission,Direct Traffic,No,No,0,12.0,75,6.0,Email Link Clicked,Supply Chain Management,Unemployed,No,No,No,No,No,No,14.0,19.0,Yes
612669,Landing Page Submission,Google,No,No,0,2.0,336,2.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,No
630783,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
628658,Landing Page Submission,Google,No,No,1,2.0,1238,2.0,SMS Sent,Supply Chain Management,Unemployed,No,No,No,No,No,No,,,No
593407,Landing Page Submission,Direct Traffic,No,No,0,7.0,423,7.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
653783,API,Referral Sites,No,No,0,4.0,213,4.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
595571,Landing Page Submission,Direct Traffic,No,No,0,2.0,33,2.0,Page Visited on Website,Finance Management,,No,No,No,No,No,No,,,Yes
597776,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
643789,API,Google,No,No,1,2.0,1794,2.0,SMS Sent,,,No,No,No,No,No,No,14.0,15.0,No
588834,API,Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,No,No,No,No,No,No,14.0,15.0,No
633243,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
579784,Landing Page Submission,Google,Yes,No,0,1.0,149,1.0,Email Bounced,Human Resource Management,,No,No,No,No,No,No,13.0,18.0,No
603673,Landing Page Submission,Organic Search,No,No,1,14.0,297,7.0,SMS Sent,Supply Chain Management,Working Professional,No,No,No,No,No,No,,,Yes
639583,Landing Page Submission,Organic Search,No,No,1,7.0,1242,3.5,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
628066,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
589061,Landing Page Submission,Direct Traffic,No,No,0,2.0,1326,2.0,Email Opened,E-COMMERCE,Unemployed,No,No,No,No,No,No,13.0,15.0,Yes
600920,API,Organic Search,No,No,0,4.0,335,4.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,,,No
591747,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
587155,Landing Page Submission,Organic Search,No,No,1,14.0,1338,14.0,Email Opened,Business Administration,,No,No,No,No,No,No,16.0,17.0,No
593596,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,237,1.0,Email Bounced,Human Resource Management,Unemployed,No,No,No,No,No,No,,,No
583030,API,Google,No,No,0,2.0,250,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,13.0,16.0,No
586362,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
629853,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
659676,API,Referral Sites,No,No,0,4.0,75,4.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,13.0,No
646285,API,Google,No,No,0,4.0,113,4.0,Email Link Clicked,Select,Unemployed,No,No,No,No,No,No,11.0,15.0,No
637903,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
635351,Landing Page Submission,Google,No,No,1,5.0,1190,2.5,SMS Sent,Human Resource Management,Student,No,No,No,No,No,No,15.0,20.0,No
608581,Landing Page Submission,Direct Traffic,No,No,0,6.0,252,6.0,Page Visited on Website,Travel and Tourism,Unemployed,No,No,No,No,No,No,,,Yes
621209,Landing Page Submission,Direct Traffic,No,No,1,4.0,1402,2.0,SMS Sent,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
613343,Landing Page Submission,Direct Traffic,No,No,1,2.0,1321,2.0,Email Opened,Human Resource Management,Working Professional,No,No,No,No,No,No,,,Yes
605184,Landing Page Submission,Google,No,No,1,4.0,540,4.0,Email Opened,Business Administration,Unemployed,No,No,No,No,No,No,,,Yes
651935,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,"Banking, Investment And Insurance",Working Professional,No,No,No,No,No,No,15.0,19.0,No
613019,Landing Page Submission,Direct Traffic,No,No,0,11.0,78,5.5,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
626466,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,,,No
